TIME,DRAW,ENGLAND,FRANCE
10:57.2,48.5,1.165,7.9
11:02.9,48.5,1.175,7.8
11:07.6,48.5,1.175,7.8
11:13.0,48.5,1.225,8
11:17.0,46,1.16,9.7
11:22.1,46,1.16,9.7
11:27.0,47,1.145,9.7
11:32.6,47,1.155,6.3
11:37.0,47,1.16,6.3
11:42.2,47,1.16,6.8
11:47.0,47,1.185,8
11:52.7,47,1.16,8
11:58.2,47,1.205,7.7
12:02.0,49.5,1.205,7.2
12:07.7,45,1.17,6.8
12:12.7,43,1.2,6.5
12:19.5,43,1.2,6.5
12:22.8,43,1.215,6.5
12:27.9,46,1.175,6.5
12:32.6,46,1.175,7.3
12:38.0,45,1.16,7.4
12:44.3,46,1.165,7.5
12:48.0,46,1.165,9.75
12:53.0,46,1.165,9.75
12:58.1,45,1.165,7.1
13:02.1,43,1.165,7.1
13:07.0,45,1.165,8.85
13:12.1,44,1.165,9.85
13:17.7,44,1.165,9.85
13:22.1,41,1.165,9.85
13:27.5,44,1.175,8.9
13:32.8,43,1.165,8.9
13:37.1,45,1.165,8.8
13:45.5,45,1.095,16.5
13:47.7,52.5,1.085,20.5
13:52.9,57.5,1.06,24
13:57.7,57.5,1.06,20.5
14:02.1,57.5,1.055,16.8
14:08.0,57.5,1.055,16.8
14:14.0,60,1.06,16.8
14:17.9,60,1.065,16.8
14:22.9,60,1.065,15.8
14:27.7,60,1.065,15.8
14:33.0,72.5,1.065,13.55
14:37.8,72.5,1.065,13.55
14:42.9,75,1.065,13.55
14:47.8,75,1.065,20.75
14:52.8,77.5,1.065,20.75
14:58.0,77.5,1.065,21.25
15:03.0,77.5,1.065,15.3
15:07.7,77.5,1.065,21.25
15:13.0,80,1.065,21.25
15:18.0,80,1.065,15.8
15:22.7,77.5,1.065,15.8
15:27.7,77.5,1.065,13.55
15:32.5,77.5,1.065,13.55
15:37.6,77.5,1.055,15.8
15:42.0,77.5,1.06,15.8
15:47.3,77.5,1.07,15.8
15:52.0,77.5,1.07,14.3
15:57.0,80,1.07,12.8
16:03.0,80,1.07,12.8
16:07.3,80,1.07,12.8
16:12.5,80,1.07,14.3
16:17.1,82.5,1.07,20
16:22.1,82.5,1.07,20
16:27.8,82.5,1.07,22.5
16:32.3,82.5,1.065,22.5
16:40.6,77.5,1.065,23.5
16:42.1,77.5,1.065,23.5
16:47.9,82.5,1.065,23.5
16:52.6,80,1.065,23.5
16:57.7,80,1.065,23.5
17:02.6,82.5,1.065,19.5
17:08.1,80,1.065,19.5
17:13.0,80,1.065,18.5
17:17.9,80,1.065,18.5
17:22.6,80,1.065,18.5
17:28.0,80,1.065,20
17:32.9,80,1.055,22.5
17:37.9,80,1.055,22.5
17:42.7,80,1.055,21
17:47.3,80,1.055,21
17:53.0,80,1.055,21
17:58.0,82.5,1.055,19
18:02.9,70,1.06,19
18:09.5,82.5,1.065,19
18:12.6,82.5,1.065,18.5
18:18.7,82.5,1.06,19.5
18:23.0,80,1.06,19.5
18:29.9,82.5,1.06,19.5
18:32.8,82.5,1.065,19.5
18:37.0,82.5,1.065,19.5
18:42.7,82.5,1.065,19.5
18:47.1,82.5,1.065,19.5
18:52.4,87.5,1.065,19
18:57.0,87.5,1.065,19
19:02.5,87.5,1.07,17
19:07.8,87.5,1.07,17
19:13.3,82.5,1.065,19.5
19:17.5,82.5,1.065,19.75
19:22.5,80,1.065,19.25
19:27.7,80,1.065,19.25
19:33.0,80,1.065,19.25
19:37.7,80,1.065,19.25
19:42.0,80,1.08,14.8
19:47.7,80,1.075,14.8
19:52.5,80,1.075,14.8
19:58.1,80,1.07,13.05
20:03.3,80,1.075,13.05
20:07.8,80,1.085,13.05
20:13.0,80,1.09,14.3
20:18.0,80,1.09,14.3
20:22.9,77.5,1.075,16.25
20:27.9,77.5,1.075,16.5
20:32.2,77.5,1.065,16.5
20:37.1,77.5,1.065,16.5
20:43.0,77.5,1.065,16.5
20:48.0,70,1.065,16.5
20:53.0,65,1.065,16.25
20:57.7,65,1.065,19.25
21:02.2,67.5,1.085,16
21:07.5,67.5,1.085,16
21:12.2,67.5,1.09,14.25
21:17.8,67.5,1.08,14.5
21:25.0,65,1.08,17.75
21:27.4,65,1.075,17
21:32.8,62.5,1.075,17
21:38.0,65,1.065,17.25
21:42.2,67.5,1.065,18
21:48.0,67.5,1.06,19
21:52.1,67.5,1.06,19
21:57.8,70,1.055,19
22:02.5,70,1.045,24.5
22:08.3,70,1.045,24.5
22:12.8,70,1.025,67
22:17.2,72.5,1.025,60.5
22:22.1,72.5,1.025,67
22:27.7,75,1.025,67
22:32.6,80,1.02,142
22:37.0,87.5,1.015,131.25
22:42.4,110,1.015,155
22:47.6,110,1.015,155
22:52.3,110,1.015,155
22:57.9,110,1.015,75
23:02.4,110,1.015,75
23:07.6,105,1.015,75
23:12.4,110,1.015,105
23:17.8,115,1.015,105
23:22.1,115,1.015,105
23:28.0,115,1.015,155
23:32.1,115,1.015,155
23:38.2,115,1.015,155
23:42.7,115,1.015,150
23:48.0,120,1.015,105
23:52.2,155,1.015,105
23:58.1,230,1.015,105
24:02.1,195,1.015,120
24:07.9,200,1.015,120
24:12.6,235,1.015,120
24:18.8,230,1.015,122.5
24:23.1,230,1.015,122.5
24:27.1,235,1.015,122.5
24:33.2,235,1.015,120
24:38.0,235,1.015,92.5
24:43.0,235,1.015,92.5
24:47.5,235,1.015,92.5
24:53.0,235,1.015,92.5
24:58.2,220,1.015,92.5
25:02.9,220,1.015,92.5
25:07.7,220,1.015,122.5
25:13.0,220,1.015,122.5
25:18.1,220,1.015,122.5
25:22.7,220,1.015,122.5
25:29.5,220,1.015,122.5
25:32.9,220,1.015,122.5
25:37.1,220,1.015,122.5
25:42.1,220,1.015,122.5
25:47.5,220,1.015,122.5
25:52.7,220,1.015,120
25:57.9,220,1.015,120
26:03.1,220,1.015,115
26:08.2,220,1.015,107.5
26:12.7,220,1.015,107.5
26:18.0,220,1.05,107.5
26:22.1,220,1.045,51.3
26:27.8,220,1.045,55.75
26:32.1,210,1.045,55.75
26:37.1,210,1.045,63.5
26:42.3,210,1.045,63.5
26:47.8,210,1.035,63.5
26:53.1,210,1.03,63.5
26:57.1,210,1.03,26
27:02.9,210,1.03,26
27:08.2,210,1.035,26
27:12.6,210,1.035,24.5
27:18.3,210,1.05,26
27:22.1,210,1.05,26
27:27.1,210,1.05,26
27:32.2,210,1.07,19.75
27:37.9,215,1.07,24.25
27:42.6,215,1.07,24.25
27:48.1,215,1.045,24.25
27:53.1,220,1.045,24.5
27:57.9,215,1.04,83.5
28:02.8,215,1.04,26.5
28:07.9,215,1.04,26.5
28:13.0,235,1.04,29.5
28:17.1,215,1.035,52
28:22.5,215,1.035,89.5
28:28.1,215,1.035,89.5
28:32.7,210,1.03,117
28:38.0,205,1.03,59.5
28:42.1,205,1.025,59.5
28:47.1,205,1.025,59.5
28:53.0,205,1.03,59.5
28:58.2,200,1.03,55.5
29:03.1,200,1.025,47
29:08.2,200,1.025,47
29:12.3,200,1.025,47
29:17.1,200,1.025,44.5
29:22.9,205,1.03,44.5
29:27.1,205,1.015,89.5
29:32.9,205,1.03,89.5
29:38.2,205,1.03,95
29:42.5,205,1.025,95
29:48.0,205,1.025,50
29:52.4,205,1.025,51
29:57.5,205,1.025,51
30:02.8,225,1.015,96
30:07.4,225,1.015,97
30:13.0,225,1.015,97
30:17.1,255,1.015,127
30:22.1,255,1.015,127
30:28.0,560,1.015,52
30:32.1,560,1.015,52
30:37.1,560,1.035,50
30:44.0,210,1.04,40
30:47.7,210,1.04,31
30:53.0,210,1.035,31
30:58.0,185,1.035,31
31:02.7,185,1.035,52
31:07.1,185,1.04,52
31:13.1,180,1.045,33.5
31:17.7,180,1.045,33.5
31:22.1,180,1.045,34
31:27.8,180,1.045,39.5
31:35.7,180,1.045,39.5
31:37.9,160,1.045,39.5
31:42.2,160,1.05,32.5
31:47.4,160,1.05,40
31:52.5,160,1.05,40.5
31:57.9,152.5,1.05,37.5
32:02.1,127.5,1.045,38
32:07.2,130,1.045,28.5
32:12.1,130,1.045,28
32:17.1,130,1.045,30
32:22.2,265,1.045,30
32:28.1,265,1.045,29
32:32.1,265,1.045,29
32:37.7,265,1.045,29
32:42.1,265,1.035,28
32:48.2,290,1.035,42
32:53.0,295,1.03,46
32:58.1,270,1.03,37
33:03.1,215,1.025,42
33:07.5,420,1.02,42
33:13.0,425,1.015,42
33:18.1,425,1.015,42
33:22.9,545,1.025,42
33:28.0,555,1.025,155
33:35.0,500,1.025,37.5
33:37.6,515,1.025,37.5
33:45.9,500,1.025,37.5
33:47.7,500,1.025,40
33:53.0,500,1.025,40
33:57.8,290,1.025,40
34:02.2,290,1.025,40
34:08.7,290,1.035,40
34:13.0,305,1.035,40
34:18.4,305,1.035,41.5
34:22.2,305,1.035,39
34:27.7,305,1.04,39
34:33.1,305,1.045,39
34:38.0,305,1.035,39
34:42.9,285,1.035,39
34:47.3,250,1.035,57.5
34:52.8,250,1.035,57.5
34:57.9,247.5,1.035,42
35:02.7,247.5,1.035,42
35:08.0,430,1.035,42
35:12.5,440,0,137.5
35:17.1,440,0,175
35:23.0,550,0,137.5
35:28.0,550,1.015,180
35:33.1,550,1.015,180
35:39.5,425,1.015,135
35:44.3,425,1.015,92.5
35:49.6,445,1.015,92.5
35:53.3,370,1.015,92.5
36:01.0,370,1.015,110
36:03.1,370,1.015,110
36:07.3,370,1.015,92.5
36:12.7,370,0,112.5
36:17.8,370,1.015,112.5
36:23.0,370,1.015,107.5
36:28.3,370,0,105
36:32.2,375,0,110
36:37.2,375,0,110
36:43.3,375,0,110
36:48.0,375,0,110
36:53.1,375,0,110
36:58.1,375,1.015,110
37:02.9,375,1.015,137.5
37:07.4,375,0,167.5
37:12.8,375,0,167.5
37:18.1,375,0,157.5
37:22.8,375,0,157.5
37:27.2,345,0,157.5
37:32.9,345,1.015,157.5
37:38.1,345,1.015,157.5
37:42.9,325,1.015,152.5
37:48.0,325,0,135
37:53.0,325,0,52.5
37:57.2,325,0,52.5
38:02.9,320,1.015,52.5
38:09.9,340,1.015,45
38:13.0,340,1.015,45
38:17.9,340,1.015,45
38:22.6,340,1.015,45
38:28.3,315,1.015,45
38:32.9,320,1.035,35
38:38.5,320,1.035,35
38:43.0,325,1.03,35
38:48.7,300,1.035,36.5
38:53.1,300,1.035,36.5
38:57.4,300,1.02,37
39:02.2,300,1.02,39.5
39:07.7,300,1.025,41.5
39:12.9,300,1.03,45.5
39:17.2,300,1.025,43.5
39:22.2,300,1.025,42
39:27.6,295,1.02,42
39:32.4,295,1.025,43
39:38.1,295,1.025,43
39:43.0,295,1.025,43
39:48.1,295,1.025,43
39:53.2,295,1.025,44
39:58.1,295,1.025,44
40:03.1,295,1.025,44
40:08.1,295,1.025,45
40:12.3,295,1.025,45
40:17.7,295,1.025,46
40:23.0,295,1.025,46
40:28.0,295,1.025,45
40:33.1,295,1.025,44
40:38.1,295,1.025,46
40:42.2,295,1.025,45
40:47.9,300,1.02,41
40:52.7,465,1.02,45
40:58.2,465,1.025,56.5
41:02.3,465,1.025,56.5
41:07.7,470,1.025,56.5
41:12.9,470,1.025,51.5
41:17.4,475,1.02,57.5
41:23.0,500,1.02,57.5
41:27.7,500,1.02,57.5
41:33.1,500,1.015,57.5
41:38.2,500,1.015,107.5
41:43.1,500,1.015,107.5
41:48.0,525,1.015,90
41:52.7,525,1.02,40
41:57.3,525,1.02,48
42:02.2,525,1.02,48
42:07.3,525,1.025,40
42:12.2,525,1.025,90
42:17.9,525,1.025,85
42:22.3,525,1.025,85
42:27.8,535,1.025,87.5
42:33.6,535,1.025,87.5
42:37.5,535,1.025,87.5
42:42.9,535,1.025,79
42:47.9,535,1.025,79
42:52.4,535,1.025,80
42:57.4,535,1.025,80
43:02.8,535,1.025,80
43:08.1,535,1.025,81
43:13.0,535,1.025,81
43:17.5,525,1.035,79
43:22.2,525,1.025,49
43:27.2,540,1.025,46.5
43:32.2,540,1.025,46.5
43:37.6,540,1.025,46.5
43:43.1,540,1.025,46.5
43:47.3,540,1.04,46.5
43:53.9,540,1.04,46.5
43:58.0,540,1.04,46.5
44:02.4,540,1.04,44
44:07.2,540,1.045,35
44:12.8,540,1.045,35
44:17.6,660,1.045,35
44:23.2,660,1.03,39.5
44:28.6,645,1.03,39.5
44:34.6,645,1.025,89.5
44:37.5,645,1.025,89.5
44:43.3,645,1.03,37.5
44:48.2,645,1.035,37.5
44:52.2,645,1.035,37.5
44:58.3,595,1.035,38
45:03.2,595,1.035,39
45:07.2,310,1.035,39
45:12.2,310,1.035,40
45:17.8,310,1.035,39
45:22.2,590,1.025,83
45:28.1,590,1.02,92
45:33.1,590,1.03,70
45:40.8,590,1.025,78
45:42.2,590,1.025,78
45:47.8,590,1.025,78
45:52.2,585,1.03,85
45:57.9,585,1.03,91
46:02.9,585,1.03,91
46:07.2,650,1.03,91
46:13.1,650,1.03,91
46:17.2,650,1.03,95
46:22.2,650,1.03,95
46:27.2,650,1.03,95
46:33.1,650,1.015,95
46:37.6,585,1.015,95
46:43.0,585,1.015,55
46:47.3,585,1.015,55
46:53.1,585,1.015,56
46:57.3,585,1.015,56
47:04.4,600,1.015,56
47:08.2,600,1.015,96
47:13.4,650,1.015,96
47:18.0,650,1.015,96
47:22.7,650,1.015,102.5
47:27.8,650,1.015,102.5
47:33.0,0,1.015,102.5
47:37.9,0,1.015,102.5
47:43.2,0,1.015,102.5
47:48.1,0,1.015,105
47:53.0,0,0,105
47:57.9,0,0,105
48:03.2,0,0,135
48:08.1,0,0,200
48:13.3,0,0,200
48:17.2,0,0,200
48:22.4,0,0,450
48:27.9,0,0,500
48:32.5,0,0,500
48:38.1,0,0,500
48:43.5,0,0,500
48:48.0,0,0,500
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
48:48.0,0,0,0
